name,id,title,approval_status,created,description,image_url,is_organization,parent,state,type,extra-abbreviation,extra-category,extra-contact-email,extra-contact-name,extra-contact-phone,extra-foi-email,extra-foi-name,extra-foi-phone,extra-spending_published_by,extra-website-name,extra-website-url
2gether-nhs-foundation-trust,f253ec11-900c-45da-86e0-4dd10f5f6b37,2gether NHS Foundation Trust,approved,2012-06-27T14:50:58.676856,,,True,national-health-service,active,organization,,,,,,,,,,,
advantage-west-midlands,27c0e1d8-d95e-4ead-8690-395228ec57d9,Advantage West Midlands,pending,2012-06-27T14:50:59.020485,,,True,department-for-business-innovation-and-skills,active,organization,,,,,,,,,,,
advisory-conciliation-and-arbitration-service,6c6263fc-bbe7-43cf-9907-cb5aad52e872,"Advisory, Conciliation and Arbitration Service",pending,2012-06-27T14:50:05.595061,,,True,department-for-business-innovation-and-skills,active,organization,Acas,,,,,,,,,,
airedale-nhs-foundation-trust,75e6ba25-0794-4b7e-952e-66838a632085,Airedale NHS Foundation Trust,approved,2012-06-27T14:50:59.730728,,,True,national-health-service,active,organization,,,,,,,,,,,
alder-hey-childrens-nhs-foundation-trust,b175516f-61b3-4f79-a947-8676baa35be5,Alder Hey Children's NHS Foundation Trust,approved,2012-06-27T14:51:00.439749,,,True,national-health-service,active,organization,,,,,,,,,,,
animal-health,f19f7415-726c-442d-9e83-2f2be07fa9a2,Animal Health,approved,2012-06-27T14:51:00.807401,,,True,previous-defra-organizations,active,organization,,,,,,,,,,,
animal-health-and-veterinary-laboratories-agency,56addc06-2534-45db-acb5-41f007310501,Animal Health and Veterinary Laboratories Agency,approved,2012-06-27T14:54:46.881741,,,True,department-for-environment-food-and-rural-affairs,active,organization,,,,,,,,,,,
appointments-commission,7ddd8712-5b72-45d4-b200-e74d6a8269d2,Appointments Commission,pending,2012-06-27T14:51:01.337942,,,True,department-of-health,active,organization,,,,,,,,,,,
arts-and-humanities-research-council,059d63cb-f916-458b-b2b4-c62bfeabac67,Arts and Humanities Research Council,pending,2012-06-27T14:49:20.559264,,,True,department-for-business-innovation-and-skills,active,organization,AHRC,,,,,,,,,,
arts-council-england,f2bc81be-a860-4685-9797-9d51d1aaac04,Arts Council England,approved,2012-06-27T14:49:04.933186,,,True,department-for-culture-media-and-sport,active,publisher,ACE,,,,,,,,,,
ashfield-district-council,278bb1d0-da55-4a1a-9983-75615c2428db,Ashfield District Council,approved,2012-06-27T14:50:10.557176,,,True,local-authorities,active,organization,,,,,,,,,,,
ashford-and-st-peters-hospitals-nhs-trust,414df293-6807-4445-8864-0d444c155011,Ashford and St. Peter's Hospitals NHS Trust,approved,2012-06-27T14:51:02.060385,,,True,national-health-service,active,organization,,,,,,,,,,,
ashton-leigh-and-wigan-community-healthcare-nhs-trust,33bfccf3-e27f-4a97-a171-b17e8924af52,"Ashton, Leigh and Wigan Community Healthcare NHS Trust",approved,2012-06-27T14:50:26.380096,,,True,national-health-service,active,organization,,,,,,,,,,,
attorney-generals-office,b5dbc6b9-f976-4b78-8bab-2ac41e78ed38,Attorney General's Office,approved,2012-06-27T14:48:56.194885,,,True,hm-crown-prosecution-service-inspectorate,active,publisher,AGO,core-department,correspondanceunit@attorneygeneral.gsi.gov.uk,attorneygeneral.gov.uk contact,,correspondanceunit@attorneygeneral.gsi.gov.uk,,,treasury-solicitors-department,attorneygeneral.gov.uk,http://www.attorneygeneral.gov.uk/
audit-commission,7961ce7b-a7eb-4445-8bf2-9a729aa739d5,Audit Commission,approved,2012-06-27T14:50:26.707880,,,True,department-for-communities-and-local-government,active,organization,,,,,,,,,,,
avon-and-wiltshire-mental-health-partnership-nhs-trust,2505ef79-2153-4e34-befb-1afaf1ba4934,Avon and Wiltshire Mental Health Partnership NHS Trust,approved,2012-06-27T14:51:02.801855,,,True,national-health-service,active,organization,,,,,,,,,,,
babergh-district-council,fb1807d6-588b-48c0-9343-7ceb793a5926,Babergh District Council,approved,2012-06-27T14:50:11.733159,,,True,local-authorities,active,organization,,,,,,,,,,,
barking-havering-and-redbridge-university-hospitals-nhs-trust,95928495-2cca-4d7e-8783-16788f5cb02b,"Barking, Havering and Redbridge University Hospitals NHS Trust",approved,2012-06-27T14:54:41.147713,,,True,national-health-service,active,organization,,,,,,,,,,,
barnet-primary-care-trust,ba60f993-2637-4995-909f-dfb48cf53b7b,Barnet Primary Care Trust,approved,2012-06-27T14:51:03.517805,,,True,national-health-service,active,organization,,,,,,,,,,,
barnsley-metropolitan-borough-council,8b8ab05e-4fc0-413c-a5d7-ea83f5beec68,Barnsley Metropolitan Borough Council,approved,2012-06-27T14:55:01.115221,,,True,local-authorities,active,organization,BMBC,,online@barnsley.gov.uk,Barnsley Council online contact,,,,,,Barnsley Council online,http://www.barnsley.gov.uk
barnsley-primary-care-trust,531f7186-c2b0-41ca-bcd2-13f7827399b7,Barnsley Primary Care Trust,approved,2012-06-27T14:55:20.672171,,,True,national-health-service,active,organization,,,,,,,,,,,
barrow-borough-council,d65220a4-e84c-4aa1-beab-0ed4f8c9adfe,Barrow Borough Council,approved,2012-06-27T14:54:32.292178,,,True,local-authorities,active,publisher,,,,,,,,,,,
barts-and-the-london-nhs-trust,db9602f9-69b3-487b-b9da-54980df96dbe,Barts and The London NHS Trust,approved,2012-06-27T14:51:04.951935,,,True,national-health-service,active,organization,,,,,,,,,,,
basildon-and-thurrock-university-hospitals-nhs-foundation-trust,2276e5ff-cd10-4015-b4cc-0eb2454208d3,Basildon and Thurrock University Hospitals NHS Foundation Trust,approved,2012-06-27T14:54:57.709598,,,True,national-health-service,active,organization,,,,,,,,,,,
basingstoke-and-deane-borough-council,8a2e2d63-b661-4245-b315-e9de4b505ca2,Basingstoke and Deane Borough Council,approved,2012-06-27T14:50:12.152233,,,True,local-authorities,active,organization,BDBC,,,,,,,,,,
bassetlaw-district-council,53ffbd97-6be6-442a-8805-484bfb54f042,Bassetlaw District Council,approved,2012-06-27T14:50:23.752895,,,True,local-authorities,active,organization,,,,,,,,,,,
bedford-borough-council,61cb3340-bb40-45bd-abdd-1b1c884dbb44,Bedford Borough Council,approved,2012-06-27T14:48:52.569982,,,True,local-authorities,active,organization,Bedford BC,,,,,,,,,,
belfast-city-council,a6485c8b-431a-44f1-baf1-1debee56c608,Belfast City Council,pending,2012-07-09T11:35:50.145729,Belfast City Council,,True,local-authorities,active,organization,,local-council,opendata@belfastcity.gov.uk,Belfast City Council Open Data Team,,records@belfastcity.gov.uk,Records Management Unit,,,,
bexley-care-trust,60a8551d-d040-4f66-a446-0006afed1012,Bexley Care Trust,approved,2012-06-27T14:50:54.307739,,,True,national-health-service,active,organization,,,,,,,,,,,
big-lottery-fund,0ad23ae4-32cc-425f-b194-11116dacbd1a,BIG Lottery Fund,approved,2012-06-27T14:49:15.220364,,,True,department-for-culture-media-and-sport,active,organization,BLF,,,,,,,,,,
biotechnology-and-biological-sciences-research-council,9c20feda-1bbc-4111-838e-4241b2e287ee,Biotechnology and Biological Sciences Research Council,pending,2012-06-27T14:49:16.019402,,,True,the-john-innes-centre,active,organization,BBSRC,,,,,,,,,,
birmingham-and-solihull-mental-health-nhs-foundation-trust,9c8da1f1-bfc6-4ea6-8f86-b48909997377,Birmingham and Solihull Mental Health NHS Foundation Trust,approved,2012-06-27T14:49:40.142928,,,True,national-health-service,active,organization,,,,,,,,,,,
birmingham-childrens-nhs-foundation-trust,4e3f196b-dd2b-40b0-996d-eca7ee4d60df,Birmingham Children's NHS Foundation Trust,approved,2012-06-27T14:51:06.408732,,,True,national-health-service,active,organization,,,,,,,,,,,
birmingham-city-council,25cdd7f0-4acc-4c27-b317-0edee995acfd,Birmingham City Council,approved,2012-06-27T14:49:29.274275,,,True,local-authorities,active,organization,,,,,,,,,,,
birmingham-east-and-north-primary-care-trust,9ae12c8a-1406-4bc6-b79e-803d226b767f,Birmingham East and North Primary Care Trust,approved,2012-06-27T14:50:29.931778,,,True,national-health-service,active,organization,,,,,,,,,,,
birmingham-primary-care-shared-services-agency,3668f626-1381-409a-9956-1a76a9c758f7,Birmingham Primary Care Shared Services Agency,approved,2012-06-27T14:54:35.359281,,,True,national-health-service,active,organization,,,,,,,,,,,
blaby-district-council,790be532-9c3d-4f66-91a2-7a6d56c2ccb9,Blaby District Council,approved,2012-06-27T14:48:52.982985,,,True,local-authorities,active,organization,Blaby DC,,,,,,,,,,
blackburn-with-darwen-care-trust-plus,797d1ccd-e07f-4ef5-b91c-51aebbf71e0a,Blackburn with Darwen Care Trust Plus,approved,2012-06-27T14:51:07.281874,,,True,national-health-service,active,organization,,,,,,,,,,,
blackburn-with-darwen-council,58d0bfe1-8404-4d5f-823a-15b6f2c9bd3d,Blackburn with Darwen Council,approved,2012-06-27T14:50:44.789680,,,True,local-authorities,active,organization,BDC,,,,,,,,,,
blackpool-fylde-wyre-hospitals-nhs-foundation-trust,552e6039-a946-4002-b753-3f74a072b00a,"Blackpool, Fylde & Wyre Hospitals NHS Foundation Trust",approved,2012-06-27T14:51:08.090921,,,True,national-health-service,active,organization,,,,,,,,,,,
bodmin-town-council,4afdf8d8-93e6-4b4b-b5b3-062297230a5e,Bodmin Town Council,approved,2012-06-27T14:55:29.076229,,,True,local-authorities,active,organization,,,,,,,,,,,
borough-council-of-kings-lynn-west-norfolk,3b924768-dd06-4d32-ad58-affebee6c394,Borough Council of King's Lynn & West Norfolk,approved,2012-06-27T14:48:55.075077,,,True,local-authorities,active,organization,BCKLWN,,,,,,,,,,
